Title,Address,Website,Phone
Restaurante La Cahuama de Andrés,"C. Quintero Arce 19, 83210 Hermosillo, Son., Mexico",,+52 662 372 2663
Hermosillo,,,
Kalino’s micheladas,"Calle T. López del Castillo 438, Hab Jardines, 83113 Hermosillo, Son., Mexico",,
Restaurante Elba Pabellón Reforma,"Av Cultura 81, Proyecto Rio Sonora Hermosillo XXI, 83270 Hermosillo, Son., Mexico",https://www.restaurantelba.com/,+52 662 212 4414
El Sume Hermosillo,"Bulevar José María Morelos 281, Loma Linda, 83150 Hermosillo, Son., Mexico",http://www.facebook.com/elsumehermosillo,+52 662 211 3532
CASA GRANDE RESTAURANTE,"Blvd. Fco. Eusebio Kino 902, Pitic, 83150 Hermosillo, Son., Mexico",https://restaurantelacasagrande.com/wp-content/uploads/2024/07/DIGITAL-La-Casa-Grande-Menu-23-07-24.pdf,+52 662 214 5740
Buqui Bichi Sucursal MH69,"Blvd. Miguel Hidalgo 69, El Centenario, 83260 Hermosillo, Son., Mexico",http://buquibichi.com/menu-mh69,+52 662 128 8561
Hoppy Burger,"Quinta Hermosa 68, Las Quintas, 83240 Hermosillo, Son., Mexico",https://www.facebook.com/HoppyBurgersm/,+52 662 420 2301
MOLANTA,,,+52 662 847 5048
,,,
Chiltepino's Wings Hermosillo Centro,,http://qrco.de/bdUrIo,+52 662 214 5658
,,,
Las MalQueridas,"Roberto Romero Esquina Heroes de Caborca 203, Jesus Garcia, 83116 Hermosillo, Son., Mexico",,+52 662 416 0170
Insomniacs BBQ,,https://www.facebook.com/INSOMNIACSBBQ/,+52 662 143 7987
,,,
Ambar Restobar,"Blvd. Miguel Hidalgo 70, El Centenario, 83260 Hermosillo, Son., Mexico",https://www.instagram.com/ambarrestobar.mx/,
Amante Brew Company,,https://amantebrew.com/,+52 662 438 5546
,,,
Mariscos LIPE,,https://mariscoslipe.com/men%C3%BA-lipe,+52 662 183 5889
,,,
Cecina Mr. Toto,,https://cecinamrtoto.com/menu/,+52 662 436 0927
,,,
Holy Cow! Burger & Beer Joint,,http://www.holycow.mx/,+52 662 216 1647
,,,
Casa Nieves Lobby Bar,"Bulevar Miguel Hidalgo y Costilla 58-B, El Centenario, 83260 Hermosillo, Son., Mexico",https://maitred.mx/restaurante/Casa-Nieves/mesa/21,+52 662 212 0233
Patio centenario,"Av. Dr. Paliza 57, El Centenario, 83260 Hermosillo, Son., Mexico",https://www.facebook.com/patiocentenariomx,
Café Central,,https://www.facebook.com/Caf%C3%A9-Central-Hermosillo-2264544070448697/,
,,,
mariscos caseta pescador,"Av. Tamaulipas, San Benito, 83190 Hermosillo, Son., Mexico",,+52 662 215 6747
TURQUESSA Coffee,,http://turquessacoffee.com/menu,+52 662 466 6626
,,,
Mariscos El Pescador,"Av. Artículo Tercero 239, Ley 57, 83100 Hermosillo, Son., Mexico",,+52 662 285 4197
La Revolucion de las Carnitas,"Av Gaston Madrid, El Mariachi, 83000 Hermosillo, Son., Mexico",,+52 662 212 2226
Barra Hidalgo Bar,"Garmendia 193 y, Av. Obregón, Centro, 83000 Hermosillo, Son., Mexico",,+52 662 212 2000
Mariscos Los Ramones,,https://instagram.com/mariscoslosramones?igshid=YmMyMTA2M2Y=,+52 662 418 7718
,,,
La 22 Hermosillo,,http://www.cerveceriala22.com/,+52 633 112 9886
,,,
VINORA Wine Bar,,https://linktr.ee/menuvinora,+52 662 299 9097
,,,
Cubamanta Mariscos y Algo más,,http://www.fb.com/cubamanta,+52 662 301 7284
,,,
La Terraza Allende,"Ignacio Allende 19, El Centenario, 83000 Hermosillo, Son., Mexico",https://www.facebook.com/TerrazaAllende/menu/?id=100078789743612&sk=menu,+52 662 503 8848
Mariscos La Rosca De Guamuchil,,,+52 662 398 1028
,,,
Bar La Verbena,"C. Pino Suárez 106, Centro, 83000 Hermosillo, Son., Mexico",,
Restaurante Liverpool,,https://www.liverpool.com.mx/,+52 662 289 2800
,,,
Los Magos Restaurant Bar,"Av Gaston Madrid 32, Centro, 83000 Hermosillo, Son., Mexico",https://www.facebook.com/restaurantlosmagos/,+52 662 213 9199
Mariscos el Campo,"Av. Tamaulipas 154, San Benito, 83190 Hermosillo, Son., Mexico",,+52 662 470 2874
La Esquina de la Cinco,,https://www.facebook.com/La-Esquina-de-la-Cinco-220672218777166/menu/?ref=page_internal,+52 662 210 9718
,,,
VINIXICO RESTAURANT BAR (SALA DE VINOS),,,+52 662 460 1349
,,,
VINIXICO RESTAURANT BAR (SALA DE VINOS),,,+52 662 460 1349
,,,
Que Rollo Sushi Verbena,,,+52 662 220 3332
,,,
Sweet and Fit - Hermosillo,,https://drive.google.com/file/d/18_eZi6YrVko5CsFyuNPvk_4_m3P4fawW/view?usp=drive_link,+52 662 552 8487
,,,
Julian's Bar,"Calle Gral Piña 46, San Benito, 83190 Hermosillo, Son., Mexico",,+52 662 214 6066
Munin Restobar,"Blvd. Juan Navarrete 355, Santa Fe, 83249 Hermosillo, Son., Mexico",https://www.facebook.com/MuninRestobar,+52 662 359 1693
Taquería El Chino,"Jose Maria Morelos y, Bulevar José María Morelos SN-S, Constitucion, 83150 Hermosillo, Son., Mexico",https://www.facebook.com/taquerias.elchino/,+52 662 140 6427
RULETERO BAR,"Av. José María Mendoza 419, Olivares, 83180 Hermosillo, Son., Mexico",https://m.facebook.com/pages/El-Ruletero-Bar/225352234238944,+52 662 152 6178
BAR EL CAMPO,"Cuernavaca 32, San Benito, 83190 Hermosillo, Son., Mexico",http://barelcampo.com.mx/,
Sonora Pub,"C. Manuel Gonzalez 103, Centro, 83000 Hermosillo, Son., Mexico",,+52 662 190 0451
Rumba & Olé,"En Juarez 431, entre Juarez y avenida 10 avenida 10 y 11 Plaza Colinas, Sacramento, 83144 Hermosillo, Son., Mexico",https://www.facebook.com/RUMBA-OL%C3%89-102627515415005/?ref=page_internal,+52 662 598 7321
Cerveceria 19,"Bulevar Luis Donaldo Colosio, Calz. de los Ángeles, Santa Fe, 83249 Hermosillo, Son., Mexico",https://www.cerveceria19.com/,+52 662 347 6731
Está Cabral,"Ignacio Allende 7, entre Blvd. Hidalgo y Callejón Velazco, El Centenario, 83260 Hermosillo, Son., Mexico",https://www.facebook.com/estacabral/,+52 662 213 7474
Destilería 25 hermosillo,"Bulevar Luis Donaldo Colosio, Calzada de los Ángeles &, Santa Fe, 83249 Hermosillo, Son., Mexico",https://drive.google.com/file/d/1cHEeDSGU6PagEmB3mXccbAQWxHxmx6Qb/view?usp=drivesdk,+52 662 166 9280
La Chila Cantina,"Av. Nuevo León 58, Centro, 83000 Hermosillo, Son., Mexico",https://www.facebook.com/lachilahermosillo/,+52 16413272204
VINOS Y LICORES DeANZA,"C. de la Reforma 62, San Benito, 83190 Hermosillo, Son., Mexico",,+52 662 214 0982
Black Diamond (exclusive) las chicas mas hermosas,"Calle Gral. José María Yáñez 445B, Balderrama, 83180 Hermosillo, Son., Mexico",,+52 662 138 7746
Pistones Garage HMO,,http://pistoneshmo.com/menu/,+52 662 212 0997
,,,
Casa Nostra,,https://bit.ly/casanostra-bienvenidos,+52 662 396 5485
,,,
La Barcaza Oyster Bar,,https://www.facebook.com/labarcazaoysterbar/,+52 662 301 8310
,,,
Bolis Y Helados Lalito,,,+52 662 193 1204
,,,
Bar 19,"Bulevar José María Morelos 242, Sacramento, 83140 Hermosillo, Son., Mexico",https://www.cerveceria19.com/,+52 662 421 1566
La Terrazita: Cocos & Beer,"C. Benito Juárez 437, Sacramento, 83144 Hermosillo, Son., Mexico",https://www.facebook.com/LaTerrazitaCocosAndBeer,+52 662 300 5216
Seven O Eleven,"Av. Everardo Monroy 137, Centro, 83000 Hermosillo, Son., Mexico",http://www.7-eleven.com.mx/,
A Estribor,"Blvr. Abelardo L. Rodríguez 135, Centro, 83000 Hermosillo, Son., Mexico",,
Fauna Tasting Room Hermosillo (Quiroga),"Blvd. Antonio Quiroga 150-sur, Villa Sauces, 83320 Hermosillo, Son., Mexico",https://www.facebook.com/faunatastingroomhillo,+52 662 104 2446
Zagros,,http://zagros.mx/menu/,+52 662 280 5125
,,,
Diprontos Lasañas Suc. Colosio,,https://www.diprontos.mx/,+52 662 264 8888
,,,
Palominos Río | Restaurante de cortes,"C. Galeana 72, Villa de Seris, 83270 Hermosillo, Son., Mexico",https://www.restaurantpalominos.mx/menu-alimentos?utm_source=google&utm_medium=organic&utm_campaign=maps&utm_term=menu-hermosillo&utm_content=mapacarta-hermosillo,+52 662 212 2700
Mariscos Karapoa,"Ramón Valdez Ramírez 1004, Unión de Ladrilleros, 83179 Hermosillo, Son., Mexico",,+52 662 313 6580
El Leñador,,https://www.restaurantellenador.com.mx/contacto-y-sucursales.html,+52 662 213 5033
,,,
Los Canijones Restaurante,"Bv. Paseo de las Quintas 354, Col. la Verbena, 83288 Hermosillo, Son., Mexico",https://instagram.com/mariscosloscanijones?igshid=YmMyMTA2M2Y=,+52 662 441 3530
Sonora Steak HOUSE,,http://sonorasteakhouse.com/,+52 662 210 0313
,,,
Matthew´s Show Bar,"Blvd. Fco. Eusebio Kino 177-Int. 9, 5 de Mayo, 83010 Hermosillo, Son., Mexico",https://elmenuenqr.com/matthews-menu-2/,+52 662 330 0729
La Burgueria,,http://www.facebook.com/laburgueriamx,+52 662 101 6001
,,,
Maderas Open Kitchen,"Las Riberas, Salamanca S/N, 83164 Hermosillo, Son., Mexico",,+52 662 156 1094
Taste Food Station Río,,http://www.tasteboutique.com/,+52 662 550 0000
,,,
MARISCOS ÁLVAREZ,"Av. Mariano Jiménez L-3, Benito Juárez, 83110 Hermosillo, Son., Mexico",,
Steaks Del Herradero,"Blvd. Juan Navarrete 85, La Huerta, 83208 Hermosillo, Son., Mexico",http://steaksdelherradero.com/#/,+52 662 214 4045
Mariscos La Cuchilla De Guamuchil,"San Luis, 83159 Hermosillo, Sonora, Mexico",https://m.facebook.com/Mariscos-La-Cuchilla-de-Guamuchil-425890044168013/?tsid&slog=8232160&seq=1459492260&rk=0&fbtype=274,+52 662 267 7009
Las Garnachas,"83190, Calle Gral. Mariano Escobedo 97-S, San Benito, Hermosillo, Son., Mexico",http://facebook.com/lasgarnachashmo,+52 662 111 6775
,,,
,,,
